---------------------------- PROCESS STARTED (11508) for package com.example.mg4_2 ----------------------------
2026-02-18 00:11:38.709 11508-11508 MG4_HW                                   com.example.mg4_2                    I  Car.createCar() başarılı, onServiceConnected bekleniyor...
2026-02-18 00:11:38.709 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Car.connect() çağrıldı
2026-02-18 00:11:38.715 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Hardkey receiver kayıt edildi. keycode=17
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setDriveMode → Eco (2)
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Açık
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:12:00.058 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Kapalı
2026-02-18 00:12:12.858  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883790_16777216_0
2026-02-18 00:12:12.858  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_7
2026-02-18 00:12:12.860  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883789_16777216_1
2026-02-18 00:12:12.861  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883790_16777216_0
2026-02-18 00:12:12.861  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_7
2026-02-18 00:12:13.662  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 3
2026-02-18 00:12:13.941  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883789_16777216_2
2026-02-18 00:12:13.941  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_3
2026-02-18 00:12:13.944  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883789_16777216_2
2026-02-18 00:12:13.946  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_3
